location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Interest Propensities>Music>Classic Rock,300x250,10% Discount - Ends 6/1,Illinois,screenrant.com,Google Ad Manager,Windows PC,62040,174,43853,58642,15,2139.065793
"New York City, New York",New York City,New York,New York City,OnAudience>Interest>Social life,300x250,10% Discount - Ends 6/1,New York,screenrant.com,BidSwitch,Smartphone,83537,222,67987,79409,4,1761.079323
"Ft. Myers-Naples, Florida",Ft. Myers-Naples,Florida,Ft. Myers,US Travel>Likely Business Travel>Number of Nights Stayed>0 Nights,300x50,Sign up Today - 10% Off,Florida,screenrant.com,Google Ad Manager,Smartphone,81054,265,56762,76198,16,1532.357841
"Knoxville, Tennessee",Knoxville,Tennessee,Knoxville,US>Price-Driven Traditionalist Audience,300x250,10% Discount - Ends 6/1,Tennessee,screenrant.com,Sovrn,Windows PC,35043,140,20942,33479,24,1527.97628
"Huntsville-Decatur (Florence), Alabama",Huntsville-Decatur (Florence),Alabama,Huntsville,Online Behavior>United States>Intent>Travel>Luxury Travel,320x50,Sign up Today - 10% Off,Alabama,seedsgames.com,Google Ad Manager,Smartphone,14509,90,866,13268,8,5521.18913
"Orlando-Daytona Beach, Florida",Orlando-Daytona Beach,Florida,Orlando,Media and Entertainment>Television (TV)>Viewership>TV Genres>Drama,300x250,Sign up Today - 10% Off,Florida,semana.com,OpenX,Windows PC,16325,78,9558,15426,21,1814.098581
"Memphis, Tennessee",Memphis,Tennessee,Memphis,US>Sociodemographic>ConneXions Lifestage>Y2 Emerging Techies,300x250,Sign up Today - 10% Off,Tennessee,shareably.net,Google Ad Manager,Smartphone,10485,84,4255,7669,2,2239.262819
"Los Angeles, California",Los Angeles,California,Los Angeles,US>Automotive>Auto Loyalists and Defectors>Auto Make Defectors,320x50,Subscribe Today - 10% Discount,California,si.com,TripleLift,Smartphone,11561,87,4063,9941,5,1911.931953
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,Online Behavior>United States>Online Communities>Blogging Resources and Services,320x50,Sign up Now - 10% Off,Florida,signin.ebay.com,Yahoo Exchange,Smartphone,18136,69,10842,14953,9,6860.359597
"Los Angeles, California",Los Angeles,California,Los Angeles,US>Brand Propensities>Electronics>Crutchfield Buyer Propensity,300x250,Sign up Today - 10% Off,California,signin.ebay.com,TripleLift,Smartphone,8437,63,5271,7065,2,1880.533168
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Intent>Auto Buyers>Car Make>Subaru,300x250,Sign up Today - 10% Off,California,signupgenius.com,Magnite DV+,Apple PC,7965,50,5230,6923,10,6298.513929
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,"Online Behavior>United States>Finance>Grants, Scholarships and Financial Aid>Government Grants",300x250,Subscribe Today - 10% Discount,Florida,signupgenius.com,BidSwitch,Smartphone,14350,60,8228,13396,6,6114.034936
"Flint-Saginaw-Bay City, Michigan",Flint-Saginaw-Bay City,Michigan,Flint,Online Behavior>United States>Autos and Vehicles>Brands>Mini,320x50,Subscribe Today - 10% Discount,Michigan,signupgenius.com,PubMatic,Smartphone,24100,110,11355,21740,5,5912.260975
"South Bend-Elkhart, Indiana",South Bend-Elkhart,Indiana,South Bend,Online Behavior>United States>Autos and Vehicles>Brands>Buick,300x250,Subscribe Today - 10% Discount,Indiana,signupgenius.com,Google Ad Manager,Apple PC,21599,66,13600,20256,9,5551.387415
"Chicago, Illinois",Chicago,Illinois,Chicago,US Financial>Likely In Market Timing>Not At All Likely to Purchase>First Home/Residence In The Next Year (Financial),300x250,Sign up Today - 10% Off,Illinois,signupgenius.com,Magnite DV+,Windows PC,35335,120,22566,30685,15,1866.34747
"San Francisco, California",San Francisco,California,San Francisco,Transactional>Q3 Gardening Shoppers,300x250,10% Discount - Ends 6/1,California,signupgenius.com,Google Ad Manager,Smartphone,14763,40,8955,13829,2,1531.926885
"San Francisco, California",San Francisco,California,San Francisco,Online Behavior>United States>Travel>Tourist Destinations>Historical Sites and Buildings,320x50,10% Discount - Ends 6/1,California,slickdeals.net,Index Exchange,Smartphone,47360,126,8047,33641,9,6502.274933
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,Online Behavior>United States>The Changing Consumer>Telehealth,300x50,Sign up Today - 10% Off,Florida,slickdeals.net,Magnite DV+,Smartphone,19408,58,6596,13880,2,5492.821648
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Travel>Carpooling and Vehicle Sharing,300x50,Sign up Today - 10% Off,Florida,slickdeals.net,PubMatic,Smartphone,46190,130,8618,41618,1,5464.109817
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Law and Government>Government,300x250,Sign up Today - 10% Off,Illinois,slickdeals.net,OpenX,Windows PC,18537,95,6473,17081,4,5206.238968
"Nashville, Tennessee",Nashville,Tennessee,Nashville,US>B2B>B2B Decision Maker Responsibilities>Security Services,320x50,Subscribe Today - 10% Discount,Tennessee,slickdeals.net,PubMatic,Smartphone,12488,99,4021,11403,4,2176.657469
"Chicago, Illinois",Chicago,Illinois,Chicago,OnAudience>Intent,320x50,10% Discount - Ends 6/1,Illinois,slickdeals.net,Google Ad Manager,Smartphone,19212,54,6872,14248,10,2133.077113
"Memphis, Tennessee",Memphis,Tennessee,Memphis,US Financial>Likely Credit Card>Behavior>Used for Personal Purposes,300x250,10% Discount - Ends 6/1,Tennessee,slickdeals.net,Google Ad Manager,Smartphone,37554,92,13128,27596,8,1737.843485
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>Demographic>Family>Male Head of Household,320x50,Sign up Now - 10% Off,Florida,slickdeals.net,BidSwitch,Smartphone,12510,74,4391,9098,6,1524.470523
"San Francisco, California",San Francisco,California,San Francisco,US>Reach>Propensity Models>Lifestyle>Charities>Contributes by Volunteering,300x50,Subscribe Today - 10% Discount,California,sneakertoast.com,PubMatic,Smartphone,15475,110,6019,10952,9,4156.713383
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,OnAudience>Interest>Pets,320x50,Sign up Today - 10% Off,Florida,soaps.sheknows.com,Google Ad Manager,Smartphone,20572,90,2226,16510,10,1529.307229
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,OnAudience>Interest>Technology & Computing>Email,320x50,Sign up Today - 10% Off,Florida,sporcle.com,GumGum,Smartphone,16956,65,7553,15201,3,1502.680139
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Autos and Vehicles>Brands>Lexus,300x250,Subscribe Today - 10% Discount,Illinois,sportpirate.com,Index Exchange,Windows PC,17075,44,5508,11539,10,5086.08996
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,Online Behavior>United States>The Changing Consumer>Streaming Services,320x50,Sign up Today - 10% Off,Florida,sports.yahoo.com,Google Ad Manager,Smartphone,9709,58,3339,7891,3,6994.085353
"San Francisco, California",San Francisco,California,San Francisco,Online Behavior>United States>Autos and Vehicles>Brands>Pontiac,320x50,Subscribe Today - 10% Discount,California,sports.yahoo.com,BidSwitch,Smartphone,7769,10,3152,6464,1,5603.048132
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Home and Garden>Bed and Bath,300x250,10% Discount - Ends 6/1,California,streetinsider.com,Google Ad Manager,Apple PC,28888,85,21437,27586,19,6858.578118
"Chicago, Illinois",Chicago,Illinois,Chicago,Media and Entertainment>Connected TV and Over-the-Top (CTV and OTT),300x250,Sign up Today - 10% Off,Illinois,streetinsider.com,Google Ad Manager,Smartphone,756687,1984,442979,611813,14,2452.997504
